1507161600.0	0.13056504	0.13056504	0.12117787	0.12629815	14096.43710446	0
1507248000.0	0.13397758	0.13397758	0.13141842	0.13141842	37498.49138897	0
1507334400.0	0.13141842	0.13141842	0.13141842	0.13141842	0.0	1
1507420800.0	0.13141842	0.13141842	0.13141842	0.13141842	0.0	1
1507507200.0	0.15104516	0.15104516	0.14592488	0.14592488	702.2341427	0
1507593600.0	0.15445868	0.15445868	0.13056504	0.13824447	41495.74614057	0
1507680000.0	0.12715153	0.12715153	0.12459139	0.12459139	11483.3548538	0
1507766400.0	0.12203125	0.12971167	0.12203125	0.12971167	5858.37818761	0
1507852800.0	0.12800491	0.12800491	0.12800491	0.12800491	0.0	0
1507939200.0	0.12800491	0.12800491	0.12800491	0.12800491	0.0	1
1508025600.0	0.12800491	0.12800491	0.12800491	0.12800491	0.0	1
1508112000.0	0.12971167	0.12971167	0.12544477	0.12544477	3515.22987041	0
1508198400.0	0.11947111	0.12373801	0.10837719	0.12203125	192005.22462202	0
1508284800.0	0.12629815	0.13653771	0.12032449	0.12373801	118002.73528317	0
1508371200.0	0.12544477	0.12544477	0.12032449	0.12032449	1639.89938527	0
1508457600.0	0.12032449	0.12032449	0.12032449	0.12032449	0.0	0
1508544000.0	0.12032449	0.12032449	0.12032449	0.12032449	0.0	1
1508630400.0	0.12032449	0.12032449	0.12032449	0.12032449	0.0	1
1508716800.0	0.10752381	0.12203125	0.10752381	0.1160576	39959.3552561	0
1508803200.0	0.10325691	0.10496367	0.10325691	0.10496367	19685.89614783	0
1508889600.0	0.10240353	0.10837719	0.09642988	0.10837719	16405.08258806	0
1508976000.0	0.12629815	0.12885829	0.12203125	0.12203125	51560.42565983	0
1509062400.0	0.12117787	0.12117787	0.12117787	0.12117787	0.0	0
1509148800.0	0.12117787	0.12117787	0.12117787	0.12117787	0.0	1
1509235200.0	0.12117787	0.12117787	0.12117787	0.12117787	0.0	1
1509321600.0	0.11947111	0.15445868	0.11947111	0.13397758	599216.79988431	0
1509408000.0	0.14848502	0.14848502	0.13909785	0.14421813	174133.77160592	0
1509494400.0	0.14336475	0.14677826	0.13312518	0.14677826	65704.55785781	0
1509580800.0	0.14080461	0.14080461	0.13056504	0.13397758	85309.27086775	0
1509667200.0	0.15019178	0.19285975	0.15019178	0.18176681	362482.71065545	0
1509753600.0	0.18176681	0.18176681	0.18176681	0.18176681	0.0	1
1509840000.0	0.18176681	0.18176681	0.18176681	0.18176681	0.0	1
1509926400.0	0.17323302	0.1868861	0.16128571	0.18262019	174661.46200217	0
1510012800.0	0.18176681	0.18176681	0.15787219	0.16811274	174754.82261073	0
1510099200.0	0.17835329	0.19371313	0.17835329	0.18773948	154212.44435822	0
1510185600.0	0.19798003	0.20054017	0.191153	0.19456651	121671.19832634	0
1510272000.0	0.19968679	0.21248748	0.19798003	0.20822058	74644.85091737	0
1510358400.0	0.20822058	0.20822058	0.20822058	0.20822058	0.0	1
1510444800.0	0.20822058	0.20822058	0.20822058	0.20822058	0.0	1
1510531200.0	0.20480706	0.20822058	0.19456651	0.20224693	35798.71943951	0
1510617600.0	0.18006005	0.18006005	0.15445868	0.16043233	235073.89405911	0
1510704000.0	0.1536053	0.1536053	0.14336475	0.14507151	102469.35663814	0
1510790400.0	0.16128571	0.17152626	0.16128571	0.16640598	177707.85925129	0
1510876800.0	0.15872557	0.15872557	0.13995123	0.1493384	166190.00156389	0
1510963200.0	0.1493384	0.1493384	0.1493384	0.1493384	0.0	1
1511049600.0	0.1493384	0.1493384	0.1493384	0.1493384	0.0	1
1511136000.0	0.13739109	0.14421813	0.13739109	0.14080461	53786.87321632	0
1511222400.0	0.1493384	0.1493384	0.13824447	0.13824447	58064.20979363	0
1511308800.0	0.13483095	0.14080461	0.13056504	0.13483095	62413.5964058	0
1511395200.0	0.12800491	0.13568433	0.12800491	0.1322718	64538.56503994	0
1511481600.0	0.12629815	0.13056504	0.12373801	0.12459139	168349.47303163	0
1511568000.0	0.12459139	0.12459139	0.12459139	0.12459139	0.0	1
1511654400.0	0.12459139	0.12459139	0.12459139	0.12459139	0.0	1
1511740800.0	0.10155015	0.1160576	0.0913096	0.10667043	884852.56700727	0
1511827200.0	0.09984339	0.10581705	0.09472312	0.10155015	556607.82996549	0
1511913600.0	0.10667043	0.1117907	0.10325691	0.10752381	353859.03183364	0
1512000000.0	0.10155015	0.10240353	0.09216298	0.09728326	300847.45758412	0
1512086400.0	0.10496367	0.10496367	0.09642988	0.10325691	52441.26270588	0
1512172800.0	0.10325691	0.10325691	0.10325691	0.10325691	0.0	1
1512259200.0	0.10325691	0.10325691	0.10325691	0.10325691	0.0	1
1512345600.0	0.09813664	0.09813664	0.08192243	0.0913096	373146.11581662	0
1512432000.0	0.08960284	0.09472312	0.08960284	0.09301636	45790.33413468	0
1512518400.0	0.0913096	0.09472312	0.0913096	0.09301636	7264.87605146	0
1512604800.0	0.09472312	0.0955765	0.09045622	0.09301636	65387.94362006	0
1512691200.0	0.09216298	0.09301636	0.0913096	0.0913096	50388.34410662	0
1512777600.0	0.0913096	0.0913096	0.0913096	0.0913096	0.0	1
1512864000.0	0.0913096	0.0913096	0.0913096	0.0913096	0.0	1
1512950400.0	0.0955765	0.0955765	0.09301636	0.09301636	9374.62284724	0
1513036800.0	0.0913096	0.0955765	0.0913096	0.0955765	25779.70543531	0
1513123200.0	0.09813664	0.09813664	0.08362919	0.0955765	80856.37575477	0
1513209600.0	0.10837719	0.10837719	0.09984339	0.10752381	19041.50499087	0
